id	target_present	bm25_before	bm25_projected	bm25_change	semantic_before	semantic_projected	semantic_change	candidates_before	candidates_projected	candidate_delta
rb-01	1	3	4	-1	1	1	0	714	768	54
rb-02	1	145	156	-11	323	328	-5	2542	2559	17
rb-03	1	75	78	-3	143	147	-4	982	1018	36
rb-04	1	0	0	0	0	0	0	1041	1044	3
rb-05	1	123	122	1	84	84	0	1446	1451	5
rb-06	1	0	0	0	0	0	0	938	938	0
rb-07	1	0	0	0	0	0	0	697	698	1
rb-08	0	0	0	0	0	0	0	1553	1553	0
rb-09	1	1	1	0	1	1	0	553	577	24
rb-10	1	10	10	0	2	2	0	989	995	6
rb-11	1	0	0	0	0	0	0	1617	1618	1
rb-12	1	1	1	0	1	1	0	495	505	10
rb-13	1	42	42	0	420	420	0	1559	1559	0
rb-14	1	6	6	0	77	77	0	2239	2260	21
rb-15	1	4	4	0	1	1	0	1008	1012	4
rb-16	1	6	6	0	1	1	0	2339	2341	2
rb-17	1	17	17	0	6	6	0	3521	3521	0
rb-18	1	27	27	0	1	1	0	917	919	2
rb-19	1	53	54	-1	12	12	0	1717	1737	20
rb-20	1	944	954	-10	5	5	0	3213	3215	2
rb-21	1	138	141	-3	1	1	0	1985	2003	18
rb-22	1	12	7	5	2	2	0	1225	1228	3
rb-23	1	0	0	0	0	0	0	1404	1408	4
rb-24	1	29	29	0	32	32	0	971	975	4
rb-25	1	3	3	0	1	1	0	916	921	5
rb-26	1	2	2	0	1	1	0	1502	1503	1
