id	present	eligible	pool	bm25	semantic	rrf10	rrf60	dense	cli_equal
rb-01	true	true	714	3	1	1	1	2	true
rb-02	true	true	2542	145	323	205	190	768	true
rb-03	true	true	982	75	143	112	98	477	true
rb-04	true	false	1041	0	0	0	0	1443	true
rb-05	true	true	1446	123	84	100	83	209	true
rb-06	true	false	938	0	0	0	0	5059	true
rb-07	true	false	697	0	0	0	0	6976	true
rb-08	false	false	1553	0	0	0	0	0	true
rb-09	true	true	553	1	1	1	1	1	true
rb-10	true	true	989	10	2	1	1	15	true
rb-11	true	false	1617	0	0	0	0	5	true
rb-12	true	true	495	1	1	1	1	1	true
rb-13	true	true	1559	42	420	90	93	1408	true
rb-14	true	true	2239	6	77	10	4	197	true
rb-15	true	true	1008	4	1	3	3	1	true
rb-16	true	true	2339	6	1	1	1	1	true
rb-17	true	true	3521	17	6	6	3	7	true
rb-18	true	true	917	27	1	5	6	1	true
rb-19	true	true	1717	53	12	16	4	32	true
rb-20	true	true	3213	944	5	10	22	21	true
rb-21	true	true	1985	138	1	3	6	1	true
rb-22	true	true	1225	12	2	5	5	2	true
rb-23	true	false	1404	0	0	0	0	1	true
rb-24	true	true	971	29	32	25	13	196	true
rb-25	true	true	916	3	1	1	1	1	true
rb-26	true	true	1502	2	1	1	1	1	true
vault-02	true	true	2732	26	17	16	4	31	true
