arm	id	cutoff	pool	bm25_rank	semantic_rank	dense_rank	dense_vs_bm25	dense_vs_semantic	query_vector_us	dense_scan_sort_us
baseline-private	rb-01	10	7889	3	1	2	same	same	30381	16845
baseline-private	rb-02	10	7889	145	323	768	same	same	15810	21367
baseline-private	rb-03	10	7889	75	143	477	same	same	11899	15516
baseline-private	rb-04	10	7889	0	0	1443	same	same	12556	13887
baseline-private	rb-05	10	7889	123	84	209	same	same	11058	17598
baseline-private	rb-06	10	7889	0	0	5059	same	same	16412	14382
baseline-private	rb-07	10	7889	0	0	6976	same	same	11145	14243
baseline-private	rb-08	10	7889	0	0	0	same	same	11551	16074
baseline-private	rb-09	10	7889	1	1	1	same	same	13519	14286
baseline-private	rb-10	10	7889	10	2	15	regression	regression	12400	14829
baseline-private	rb-11	10	7889	0	0	5	gain	gain	9104	14182
baseline-private	rb-12	10	7889	1	1	1	same	same	12031	14021
baseline-private	rb-13	10	7889	42	420	1408	same	same	14086	15059
baseline-private	rb-14	10	7889	6	77	197	regression	same	11495	14227
baseline-private	rb-15	10	7889	4	1	1	same	same	10501	14251
baseline-private	rb-16	10	7889	6	1	1	same	same	14197	14805
baseline-private	rb-17	10	7889	17	6	7	gain	same	15161	13940
baseline-private	rb-18	10	7889	27	1	1	gain	same	16164	14854
baseline-private	rb-19	10	7889	53	12	32	same	same	12903	15276
baseline-private	rb-20	10	7889	944	5	21	same	regression	11908	14509
baseline-private	rb-21	10	7889	138	1	1	gain	same	10702	14436
baseline-private	rb-22	10	7889	12	2	2	gain	same	14937	15018
baseline-private	rb-23	10	7889	0	0	1	gain	gain	15537	15705
baseline-private	rb-24	10	7889	29	32	196	same	same	10840	13977
baseline-private	rb-25	10	7889	3	1	1	same	same	13534	18748
baseline-private	rb-26	10	7889	2	1	1	same	same	16781	14088
score-private	vault-01	3	7889	52	1	4	same	regression	10991	20608
score-private	vault-02	3	7889	26	17	31	same	same	13030	14116
score-private	vault-03	3	7889	1	1	1	same	same	12814	14567
score-private	vault-04	3	7889	1	1	1	same	same	12107	14241
score-private	corpus-01	3	7889	1	2	2	same	same	12179	17724
score-private	corpus-02	3	7889	2	3	24	regression	regression	13539	16324
score-private	corpus-03	3	7889	7	2	2	gain	same	10540	13921
score-private	corpus-04	3	7889	2	3	3	same	same	17258	14761
score-private	stars-01	3	7889	1	1	1	same	same	14591	14451
score-private	stars-02	3	7889	1	1	1	same	same	10592	16244
score-private	stars-03	3	7889	1	1	1	same	same	13865	15122
score-private	loops-01	3	7889	1	19	37	regression	same	12856	15265
score-private	loops-02	3	7889	3	197	347	regression	same	12087	14402
score-private	loops-03	3	7889	1	1	1	same	same	11544	14085
score-private	docs-01	3	7889	6	140	259	same	same	14138	13977
score-private	docs-02	3	7889	1	3	45	regression	regression	15368	13951
score-private	camelcase-01	3	7889	2	1	1	same	same	14802	13935
score-private	camelcase-02	3	7889	2	2	2	same	same	14996	14022
score-private	camelcase-03	3	7889	109	3	3	gain	same	13763	13862
score-private	camelcase-04	3	7889	2	1	1	same	same	15653	13654
score-private	camelcase-05	3	7889	1	1	1	same	same	16833	13746
score-private	none-01	3	7889	0	0	0	regression	regression	15052	13953
reachable-public	stars-01	3	570	1	1	1	same	same	18699	843
reachable-public	stars-02	3	570	1	1	1	same	same	16496	882
reachable-public	stars-03	3	570	1	1	1	same	same	13976	845
reachable-public	docs-01	3	570	2	26	29	regression	same	12541	860
reachable-public	docs-02	3	570	1	1	1	same	same	9979	1088
none-public	none-01	10	570	0	0	0	regression	regression	24494	894
natural-unscoped-top3	nl-01	3	570	3	1	1	same	same	18117	903
natural-unscoped-top3	nl-02	3	570	0	0	524	same	same	11671	909
natural-unscoped-top3	nl-03	3	570	12	5	8	same	same	13540	866
natural-unscoped-top3	nl-04	3	570	0	0	0	same	same	10161	851
natural-unscoped-top3	nl-05	3	570	1	4	66	regression	same	11296	903
natural-unscoped-top3	nl-06	3	570	7	2	9	same	regression	12574	902
natural-unscoped-top3	nl-07	3	570	7	15	60	same	same	15807	873
natural-unscoped-top3	nl-08	3	570	0	0	0	same	same	14509	876
natural-unscoped-top3	nl-09	3	570	36	31	184	same	same	12552	931
natural-unscoped-top3	nl-10	3	570	0	0	0	same	same	13436	920
natural-unscoped-top3	nl-11	3	570	0	0	191	same	same	15867	980
natural-unscoped-top3	nl-12	3	570	3	1	1	same	same	14246	890
natural-unscoped-top3	nl-13	3	570	3	1	1	same	same	16636	962
natural-unscoped-top3	nl-14	3	570	3	15	36	regression	same	13434	867
natural-unscoped-top3	nl-15	3	570	1	2	3	same	same	14409	843
natural-unscoped-top3	nl-16	3	570	1	1	1	same	same	12710	1421
natural-unscoped-top3	nl-17	3	570	1	1	1	same	same	10871	883
natural-unscoped-top3	nl-18	3	570	2	2	2	same	same	15978	929
natural-unscoped-top3	nl-19	3	570	1	1	1	same	same	13916	885
natural-unscoped-top3	nl-20	3	570	2	1	1	same	same	13415	983
natural-unscoped-top3	nl-21	3	570	2	1	1	same	same	11299	849
natural-unscoped-top3	nl-22	3	570	14	8	30	same	same	10301	839
natural-unscoped-top3	nl-23	3	570	15	49	133	same	same	11926	868
natural-unscoped-top3	nl-24	3	570	3	5	13	regression	same	13157	902
natural-unscoped-top3	nl-25	3	570	0	0	46	same	same	16756	895
natural-unscoped-top3	nl-26	3	570	2	1	1	same	same	17251	893
natural-unscoped-top3	nl-27	3	570	1	1	1	same	same	16767	835
natural-unscoped-top3	nl-28	3	570	1	1	1	same	same	13167	879
natural-unscoped-top3	nl-29	3	570	2	1	1	same	same	12561	862
natural-unscoped-top3	nl-30	3	570	1	4	4	regression	same	21527	859
natural-unscoped-top10	nl-01	10	570	3	1	1	same	same	14328	854
natural-unscoped-top10	nl-02	10	570	0	0	524	same	same	15293	861
natural-unscoped-top10	nl-03	10	570	12	5	8	gain	same	10469	981
natural-unscoped-top10	nl-04	10	570	0	0	0	same	same	34229	1129
natural-unscoped-top10	nl-05	10	570	1	4	66	regression	regression	13488	902
natural-unscoped-top10	nl-06	10	570	7	2	9	same	same	12404	864
natural-unscoped-top10	nl-07	10	570	7	15	60	regression	same	15227	1069
natural-unscoped-top10	nl-08	10	570	0	0	0	same	same	15789	914
natural-unscoped-top10	nl-09	10	570	36	31	184	same	same	15588	891
natural-unscoped-top10	nl-10	10	570	0	0	0	same	same	11510	1764
natural-unscoped-top10	nl-11	10	570	0	0	191	same	same	13848	1219
natural-unscoped-top10	nl-12	10	570	3	1	1	same	same	12837	1067
natural-unscoped-top10	nl-13	10	570	3	1	1	same	same	15147	1489
natural-unscoped-top10	nl-14	10	570	3	15	36	regression	same	10109	866
natural-unscoped-top10	nl-15	10	570	1	2	3	same	same	14276	849
natural-unscoped-top10	nl-16	10	570	1	1	1	same	same	16557	869
natural-unscoped-top10	nl-17	10	570	1	1	1	same	same	9209	853
natural-unscoped-top10	nl-18	10	570	2	2	2	same	same	10996	925
natural-unscoped-top10	nl-19	10	570	1	1	1	same	same	10636	878
natural-unscoped-top10	nl-20	10	570	2	1	1	same	same	7918	2366
natural-unscoped-top10	nl-21	10	570	2	1	1	same	same	19015	1073
natural-unscoped-top10	nl-22	10	570	14	8	30	same	regression	13890	849
natural-unscoped-top10	nl-23	10	570	15	49	133	same	same	13123	943
natural-unscoped-top10	nl-24	10	570	3	5	13	regression	regression	14943	895
natural-unscoped-top10	nl-25	10	570	0	0	46	same	same	11138	891
natural-unscoped-top10	nl-26	10	570	2	1	1	same	same	12673	847
